[0.15996068],[0.20179329],[0.05677516]
[0.16014577],[0.20199358],[0.05670064]
[0.16033067],[0.20219358],[0.05662632]
[0.16051541],[0.20239328],[0.05655217]
[0.16069996],[0.20259268],[0.05647821]
[0.16088435],[0.20279179],[0.05640443]
[0.16106856],[0.2029906],[0.05633084]
[0.1612526],[0.20318911],[0.05625742]
[0.16143647],[0.20338733],[0.05618419]
[0.16162016],[0.20358526],[0.05611114]
[0.16180368],[0.20378289],[0.05603827]
[0.16198703],[0.20398022],[0.05596557]
[0.16217021],[0.20417726],[0.05589306]
[0.16235321],[0.20437401],[0.05582073]
[0.16253605],[0.20457046],[0.05574857]
[0.16271871],[0.20476662],[0.05567659]
